# n; site name; has IPv6 address; IPv6 download works; all nameservers; IPv6 nameservers
1;24.hu;no;N/A;4;4
2;blikk.hu;no;N/A;2;1
3;origo.hu;yes;yes;3;2
4;femina.hu;yes;yes;2;0
5;index.hu;yes;yes;2;0
6;portfolio.hu;no;N/A;2;1
7;nlc.hu;no;N/A;4;4
8;ripost.hu;yes;yes;2;2
9;nosalty.hu;no;N/A;4;4
10;borsonline.hu;no;N/A;2;2
11;mindmegette.hu;no;N/A;2;2
12;penzcentrum.hu;no;N/A;2;1
13;hvg.hu;yes;yes;2;2
14;life.hu;yes;yes;3;2
15;promotions.hu;no;N/A;2;0
16;444.hu;yes;yes;2;2
17;telex.hu;yes;yes;2;2
18;hazipatika.com;no;N/A;4;4
19;jofogas.hu;no;N/A;2;1
20;napi.hu;yes;yes;2;2
21;idokep.hu;no;N/A;4;1
22;szeretlekmagyarorszag.hu;yes;yes;2;2
23;webbeteg.hu;yes;yes;2;2
24;vg.hu;no;N/A;2;2
25;blog.hu;no;N/A;2;0
26;rtl.hu;yes;yes;2;0
27;vezess.hu;no;N/A;4;4
28;hirado.hu;no;N/A;2;1
29;port.hu;no;N/A;2;0
30;nepszava.hu;yes;yes;2;2
31;hasznaltauto.hu;no;N/A;2;1
32;startlap.hu;no;N/A;4;4
33;tenyek.hu;no;N/A;2;0
34;168.hu;no;N/A;3;0
35;noizz.hu;no;N/A;4;4
36;metropol.hu;no;N/A;2;2
37;videa.hu;yes;yes;2;0
38;divany.hu;no;N/A;2;0
39;joy.hu;no;N/A;2;0
40;kiskegyed.hu;no;N/A;2;0
41;infostart.hu;no;N/A;2;0
42;ingatlan.com;yes;no;2;2
43;mandiner.hu;no;N/A;2;2
44;egeszsegkalauz.hu;no;N/A;2;0
45;femcafe.hu;no;N/A;3;3
46;agrarszektor.hu;no;N/A;2;1
47;budapestkornyeke.hu;yes;yes;2;2
48;liner.hu;yes;yes;2;2
49;glamour.hu;no;N/A;2;0
50;streetkitchen.hu;no;N/A;3;2
51;magyarnemzet.hu;yes;yes;2;2
52;atv.hu;no;N/A;4;4
53;cosmopolitan.hu;no;N/A;3;0
54;agroinform.hu;no;N/A;4;0
55;sobors.hu;no;N/A;2;0
56;totalcar.hu;no;N/A;2;0
57;menetrendek.hu;no;N/A;2;2
58;mafab.hu;yes;yes;2;2
59;hirtv.hu;no;N/A;3;2
60;m4sport.hu;no;N/A;2;1
61;kekvillogo.hu;yes;yes;2;2
62;nemzetisport.hu;no;N/A;2;2
63;hellovidek.hu;no;N/A;2;1
64;vatera.hu;no;N/A;3;0
65;filantropikum.com;no;N/A;3;0
66;forbes.hu;no;N/A;4;4
67;wmn.hu;yes;yes;2;2
68;elle.hu;no;N/A;2;0
69;ign.hu;no;N/A;3;0
70;tv2play.hu;no;N/A;2;0
71;story.hu;no;N/A;3;0
72;startlak.hu;no;N/A;2;2
73;hirklikk.hu;no;N/A;2;0
74;privatbankar.hu;no;N/A;2;0
75;freemail.hu;no;N/A;2;0
76;marieclaire.hu;no;N/A;3;0
77;mfor.hu;no;N/A;2;0
78;azonnali.hu;no;N/A;2;2
79;topszotar.hu;no;N/A;2;0
80;profession.hu;no;N/A;2;0
81;player.hu;no;N/A;2;0
82;csaladinet.hu;no;N/A;2;1
83;roadster.hu;no;N/A;2;0
84;bien.hu;yes;yes;2;2
85;programturizmus.hu;no;N/A;2;1
86;receptneked.hu;no;N/A;3;3
87;noklapja.hu;no;N/A;4;4
88;evamagazin.hu;no;N/A;2;0
89;ceginformacio.hu;no;N/A;2;0
90;hang.hu;no;N/A;2;0
91;koponyeg.hu;no;N/A;3;2
92;babaszoba.hu;no;N/A;3;0
93;hamuesgyemant.hu;no;N/A;3;0
94;velvet.hu;no;N/A;2;0
95;ittlakunk.hu;no;N/A;2;2
96;nuus.hu;yes;yes;2;2
97;szon.hu;yes;yes;2;2
98;eduline.hu;yes;yes;2;2
99;indavideo.hu;no;N/A;2;0
100;naphire.hu;no;N/A;4;0
101;raketa.hu;no;N/A;2;0
102;egy.hu;no;N/A;3;3
103;propeller.hu;yes;yes;2;2
104;musor.tv;no;N/A;3;0
105;harmonikum.co;yes;yes;2;2
106;baon.hu;yes;yes;2;2
107;hrportal.hu;yes;yes;2;2
108;mediaklikk.hu;no;N/A;2;1
109;hirstart.hu;no;N/A;4;4
110;retikul.hu;yes;yes;2;2
111;dictzone.com;yes;yes;2;2
112;instyle.hu;no;N/A;2;0
113;profitline.hu;no;N/A;2;0
114;napjainkportal.hu;yes;yes;2;2
115;autonavigator.hu;no;N/A;2;1
116;minden-egyben.com;no;N/A;2;0
117;eredmenyek.com;no;N/A;3;3
118;vince.hu;no;N/A;3;1
119;twice.hu;no;N/A;3;0
120;gamestar.hu;no;N/A;2;0
121;atlatszo.hu;yes;yes;2;2
122;kisalfold.hu;yes;yes;2;2
123;pestisracok.hu;no;N/A;2;2
124;5percblog.hu;yes;yes;2;2
125;bookline.hu;no;N/A;3;0
126;g7.hu;no;N/A;3;0
127;goal.com;no;N/A;4;4
128;alfahir.hu;yes;yes;2;2
129;travelo.hu;yes;yes;3;2
130;qubit.hu;yes;yes;2;2
131;keresztlabda.hu;no;N/A;3;0
132;nyugat.hu;yes;yes;2;2
133;eurosport.hu;no;N/A;4;4
134;babanet.hu;no;N/A;2;0
135;888.hu;yes;yes;2;2
136;ma.hu;no;N/A;3;0
137;alapjarat.hu;yes;yes;2;2
138;joautok.hu;no;N/A;2;2
139;pcworld.hu;no;N/A;2;0
140;astronet.hu;no;N/A;2;2
141;kemma.hu;yes;yes;2;2
142;klubradio.hu;no;N/A;3;2
143;csakfoci.hu;no;N/A;2;0
144;jobbmintatv.hu;no;N/A;2;0
145;haszon.hu;no;N/A;3;0
146;delmagyar.hu;yes;yes;2;2
147;contextus.hu;yes;yes;2;2
148;zaol.hu;yes;yes;2;2
149;adozona.hu;yes;yes;2;2
150;leet.hu;no;N/A;2;2
151;reblog.hu;yes;yes;3;2
152;bankmonitor.hu;no;N/A;4;4
153;magyarnarancs.hu;no;N/A;2;0
154;novekedes.hu;no;N/A;4;2
155;tudnodkell.info;no;N/A;3;3
156;haon.hu;yes;yes;2;2
157;igazino.hu;no;N/A;3;3
158;welovebudapest.com;no;N/A;2;0
159;sorozatwiki.hu;yes;yes;2;2
160;ingatlanbazar.hu;no;N/A;2;2
161;citromail.hu;no;N/A;4;4
162;ingatlantajolo.hu;no;N/A;2;2
163;colore.hu;no;N/A;2;0
164;in.hu;no;N/A;3;0
165;kremmania.hu;no;N/A;4;4
166;maxapro.hu;no;N/A;2;2
167;hobbikert.hu;no;N/A;3;0
168;agroforum.hu;no;N/A;2;0
169;boon.hu;yes;yes;2;2
170;media1.hu;yes;yes;2;2
171;szoljon.hu;yes;yes;2;2
172;sorozatbarat.online;yes;yes;2;2
173;ifaktor.hu;no;N/A;3;0
174;nb1.hu;no;N/A;4;0
175;piacesprofit.hu;yes;yes;2;2
176;hu.motorsport.com;no;N/A;1;1
177;eoldal.hu;no;N/A;2;2
178;sussfelnap.hu;no;N/A;2;0
179;akcios-ujsag.hu;yes;yes;2;2
180;rtlmost.hu;no;N/A;4;0
181;cafeblog.hu;no;N/A;3;0
182;feol.hu;yes;yes;2;2
183;vasarlocsapat.hu;no;N/A;2;0
184;avilagtitkai.com;yes;yes;2;2
185;civishir.hu;no;N/A;3;0
186;neokohn.hu;no;N/A;2;2
187;formula.hu;no;N/A;3;0
188;teol.hu;yes;yes;2;2
