# year; month; 20; n (of 20) has IPv6 address; n (of 20) IPv6 download work; n (of 20) has IPV6 DNS server; 100; 100 addr; 100 download; 100 DNS; 500; 500 addr; 500 download; 500 DNS
2019; 11; 20; 4; 4; 10; 100; 18; 17; 46; 500; 79; 74; 240
2019; 12; 20; 5; 5; 11; 100; 18; 17; 45; 500; 81; 77; 242
2020; 01; 20; 6; 6; 13; 100; 20; 19; 49; 500; 83; 78; 249
2020; 02; 20; 6; 6; 14; 100; 22; 21; 49; 500; 88; 83; 255
2020; 03; 20; 7; 7; 14; 100; 24; 23; 51; 500; 89; 85; 256
2021; 01; 20; 9; 9; 13; 100; 30; 30; 59; 500; 105; 97; 270
2021; 02; 20; 9; 9; 14; 100; 30; 30; 61; 500; 100; 95; 269
2021; 03; 20; 9; 9; 13; 100; 34; 34; 60; 500; 112; 106; 276
2021; 04; 20; 10; 10; 13; 100; 32; 32; 58; 500; 115; 111; 273
2021; 06; 20; 9; 9; 16; 100; 27; 27; 57; 500; 115; 111; 286
2021; 07; 20; 8; 8; 17; 100; 28; 28; 62; 500; 115; 111; 289
2021; 09; 20; 7; 7; 17; 100; 28; 28; 59; 500; 118; 115; 290
2021; 10; 20; 8; 8; 16; 100; 27; 27; 59; 500; 117; 114; 288
2021; 11; 20; 9; 9; 17; 100; 27; 27; 56; 500; 126; 121; 285
2021; 12; 20; 9; 9; 17; 100; 30; 30; 58; 500; 122; 118; 284
2022; 01; 20; 9; 9; 17; 100; 28; 28; 57; 500; 123; 118; 285
